paragraph_id,volume,main_emperor,main_era,all_emperors,all_eras,classification_type,text
01-056,01-朝野佥载卷一,,,,,independent,【01-056】怀州录事参军路敬潜遭綦连辉事，于新开推鞫，免死配流。后诉雪，授睦州遂安县令。前邑宰皆卒于官，潜欲不赴。其妻曰：“君若合死，新开之难早已无身，今得县令，岂非命乎？”遂至州。去县水路数百里上，寝堂两间有三殡坑，皆埋旧县令，潜命坊夫填之。有枭鸣于屏风，又鸣于承尘上，并不以为事。每与妻对食，有鼠数十头，或黄或白，或青或黑，以杖驱之，则抱杖而叫。自余妖怪，不可具言。至四考满，一无所失，选授卫令，除卫州司马。入为郎中，位至中书舍人。
01-057,01-朝野佥载卷一,,,,,independent,【01-057】周甘子布博学有才，年十七为左卫长史，不入五品。登封年病，以驴舆强至岳下，天恩加两阶，合入五品，竟不能起。邻里亲戚来贺，衣冠不得，遂以绯袍覆其上，帖然而终。
01-058,01-朝野佥载卷一,,,,,independent,【01-058】太常卿卢崇道坐女婿中书令崔湜反，羽林郎将张仙坐与薛介然口陈欲反之状，俱流岭南。经年，无日不悲号，两目皆肿，不胜凄楚，遂并逃归。崇道至都宅藏隐。为男娶崔氏女未成，有内给使来取充贵人，崇道乃赂给使，别取一崔家女去入内。事败，给使具承，掩崇道，并男三人亦被纠捉，敕杖各决一百，俱至丧命。
01-059,01-朝野佥载卷一,,,,,independent,【01-059】青州刺史刘仁轨知海运，失船极多，除名为民，遂辽东效力。遇病，卧平壤城下，褰幕看兵士攻城。有一卒直来前头背坐，叱之不去，仍恶骂曰：“你欲看，我亦欲看，何预汝事？”不肯去。须臾城头放箭，正中心而死。微此兵，仁轨几为流矢所中。
01-060,01-朝野佥载卷一,,,,,independent,【01-060】任之选与张说同时应举，后说为中书令，之选竟不及第。来谒张公，公遗绢一束，以充粮用。之选将归，至舍不经一两日，疾大作，将绢市药，绢尽疾自损。非但此度，余处亦然，何薄命之甚也！
01-061,01-朝野佥载卷一,,,,,independent,【01-061】杭州刺史裴有敞疾甚，令钱塘县主簿夏荣看之。荣曰：“使君百无一虑，夫人早须崇福以禳之。”崔夫人曰：“禳须何物？”荣曰：“使君娶二姬以压之，出三年则危过矣。”夫人怒曰：“此獠狂语，儿在身无病。”荣退曰：“夫人不信，荣不敢言。使君命合有三妇，若不更娶，于夫人不祥。”夫人曰：“乍可死，此事不相当也。”其年夫人暴亡，敞更娶二姬，荣言信矣。
01-062,01-朝野佥载卷一,,,,,independent,【01-062】平王诛逆韦，崔日用将兵杜曲，诛诸韦略尽，绷子中婴孩亦捏杀之。诸杜滥及者非一。浮休子曰：此逆韦之罪，疏族何辜！亦如冉闵杀胡，高鼻者横死；董卓诛阉人，无须者枉戮。死生，命也。
01-063,01-朝野佥载卷一,,,,,independent,【01-063】逆韦之变，吏部尚书张嘉福河北道存抚使，至怀州武涉驿，有敕所至处斩之。寻有敕矜放。使人马上昏睡，迟行一驿，比至，已斩讫。命非天乎，天非命乎！
01-064,01-朝野佥载卷一,高宗李治,上元,高宗李治;肃宗李亨,上元,era,【01-064】沈君亮见冥道事：上元年中，吏部员外张仁祎延生问曰：“明公看祎何当迁？”亮曰：“台郎坐不暖席，何虑不迁。”俄而祎如厕，亮谓诸人曰：“张员外总十余日活，何暇忧官职乎？”后七日而祎卒。
01-065,01-朝野佥载卷一,,,,,independent,【01-065】虔州司士刘知元摄判司仓，大酺时，司马杨舜臣谓之曰：“买肉必须含胎，肥脆可食，余瘦不堪。”知元乃拣取怀孕牛犊及猪羊驴等杀之，其胎仍动，良久乃绝。无何，舜臣一奴无病而死，心上仍暖，七日而苏。云见一水犊白额，并子随之，见王诉云：“怀胎五个月，枉杀母子。”须臾又见猪羊驴等皆领子来诉，见刘司士答款，引杨司马处分如此。居三日而知元卒亡，又五日而舜臣死。
01-066,01-朝野佥载卷一,睿宗李旦,景云,睿宗李旦,景云,era,【01-066】率更令张文成，枭晨鸣于庭树，其妻以为不祥，连唾之。文成云：“急洒扫，吾当改官。”言未毕，贺客已在门矣。又一说，文成景云二年为鸿胪寺丞，帽带及绿袍并被鼠啮。又蜘蛛大如栗，当寝门上悬丝。经数日大赦，加阶授五品。男不宰鼠亦啮腰带欲断，寻选授博野尉。
01-067,01-朝野佥载卷一,,,,,independent,【01-067】隋大业之季，猫鬼事起。家养老猫为厌魅，颇有神灵，递相诬告，京师及郡县被诛戮者数千余家，蜀王秀皆坐之。隋室既亡，其事亦寝矣。
01-068,01-朝野佥载卷一,高宗李治,仪凤,高宗李治,仪凤,era,【01-068】仪凤年中，有长星半天，出东方，三十余日乃灭。自是土番叛，匈奴反，徐敬业乱，白铁余作逆，博、豫骚动，忠、万强梁，契丹翻营府，突厥破赵、定，麻仁节、张玄遇、王孝杰等皆没百万众。三十余年，兵革不息。
01-069,01-朝野佥载卷一,高宗李治,调露,高宗李治,调露,era,【01-069】调露之后，有鸟大如鸠，色如乌鹊，飞若风声，千万为队，时人谓之鹨雀，亦名突厥雀。若来突厥必至，后至无差。
01-070,01-朝野佥载卷一,武则天,天授,武则天,天授,era,【01-070】天授中，则天好改新字，又多忌讳。有幽州人寻如意上封云：“国字中‘或’，或乱天象，请□中安‘武’以镇之。”则天大喜，下制即依。月余有上封者云：“‘武’退在□中，与囚字无异，不祥之甚。”则天愕然，遽追制，改令中为“八方”字。后孝和即位，果幽则天于上阳宫。
01-071,01-朝野佥载卷一,武则天,长安,武则天,长安,era,【01-071】长安二年九月一日，太阳蚀尽，默啜贼到并州。至十五日夜，月蚀尽，贼并退尽。俗谚曰：“枣子塞鼻孔，悬楼阁却种。”又云：“蝉鸣蛁螈唤，黍种糕糜断。”又谚云：“春雨甲子，赤地千里。夏雨甲子，乘船入市。秋雨甲子，禾头生耳。冬雨甲子，鹊巢下地，其年大水。”
01-072,01-朝野佥载卷一,武则天,长安,武则天,长安,era,【01-072】长安四年十月，阴，雨雪，一百余日不见星。正月，诛张易之、昌宗等，则天废。
01-073,01-朝野佥载卷一,,,,,independent,【01-073】幽州都督孙佺之入贼也，薛讷与之书曰：“季月不可入贼，大凶也。”佺曰：“六月宣王北伐，讷何所知。有敢言兵出不复者斩。”出军之日，有白虹垂头于军门。其夜，大星落于营内，兵将无敢言者。军行后，幽州界内鸦乌鸱鸢等并失，皆随军去。经二旬而军没，乌鸢食其肉焉。
01-074,01-朝野佥载卷一,睿宗李旦,延和,睿宗李旦,延和,era,【01-074】延和初七日，太白昼见经天。其月，太上皇逊帝位，此易主之应也。至八月九日，太白仍昼见，改元先天。至二月七日，太上皇废，诛中书令萧至忠、侍中岑羲；流崔湜，寻诛之。
01-075,01-朝野佥载卷一,玄宗李隆基,开元,玄宗李隆基;殇帝李重茂,开元,era,【01-075】开元二年五月二十九日夜，大流星，如瓮或如盆大者贯北斗，并西北小者随之，无数天星尽摇，至晓乃止。七月，襄王崩，谥殇帝。十月，土番入陇右，掠羊马，杀伤无数。其年六月，大风拔树发屋，长安街中树连根出者十七八。长安城初建，隋将作大匠高颎所植槐树殆三百余年，至是拔出。终南山竹开花结子，绵亘山谷，大小如麦。其岁大饥，其竹并枯死。岭南亦然，人取而食之。醴泉雨面如米颗，人可食之。后汉襄楷云：“国中竹柏枯者，不出三年，主当之。”人家竹结实枯死者，家长当之。终南竹花枯死者，开元四年而太上皇崩。
01-076,01-朝野佥载卷一,玄宗李隆基,开元,玄宗李隆基,开元,era,【01-076】开元五年，洪、潭二州复有火灾，昼日人见火精赤燉燉，所诣即火起。东晋时，王弘为吴郡太守，亦有此灾。弘挞部人，将为不慎。后坐厅事，见一物赤如信幡，飞向人家舍上，俄而火起。方知变不复由人，遭燕人家遂免笞罚。
01-077,01-朝野佥载卷一,玄宗李隆基,开元,玄宗李隆基,开元,era,【01-077】开元八年，契丹叛，关中兵救营府，至渑池缺门，营于毂水侧。夜半水涨，漂二万余人。惟行纲夜樗蒲不睡，据高获免。村店并没尽。上阳宫中水溢，宫人死者十七八。其年京兴道坊一夜陷为池，没五百家。初，邓州三鸦口见二小儿以水相泼，须臾有大蛇十围已上，张口向天。人或有斫射者。俄而云雨晦冥，雨水漂二百家，小儿及蛇不知所在。
01-078,01-朝野佥载卷一,,,,,independent,【01-078】洛阳县令宋之逊性好唱歌，出为连州参军。刺史陈希古者，庸人也，令之逊教婢歌。每日端笏立于庭中，呦呦而唱，其婢隔窗从而和之。闻者无不大笑。
02-001,02-朝野佥载卷二,,,,,independent,【02-001】北齐南阳王入朝，上问何以为乐，王曰：“致蝎最乐。”遂收蝎，一宿得五斗，置大浴斛中。令一人脱衣而入，被蝎螫死，宛转号叫，苦痛不可言，食顷而死。帝与王看之。
02-002,02-朝野佥载卷二,,,,,independent,【02-002】隋末荒乱，狂贼朱粲起于襄、邓间。岁饥，米斛万钱亦无得处，人民相食。粲乃驱男女小大仰一大铜钟，可二百石，煮人肉以喂贼。生灵歼于此矣。
02-003,02-朝野佥载卷二,,,,,independent,【02-003】周恩州刺史陈承亲，岭南大首领也，专使子弟兵劫江。有一县令从安南来，承亲凭买二婢，令有难色。承亲每日重设邀屈，甚殷勤。送别江亭，即遣子弟兵寻复劫杀，尽取财物。将其妻及女至州，妻叩头求作婢，不许，亦缢杀之。取其女。前后官人家过亲，礼遇厚者，必随后劫杀，无人得免。
02-004,02-朝野佥载卷二,,,,,independent,【02-004】周杭州临安尉薛震好食人肉。有债主及奴诣临安，于客舍遂饮之醉，杀而脔之，以水银和煎，并骨销尽。后又欲食其妇，妇觉而遁之。县令诘，具得其情，申州录事奏，奉敕杖一百而死。
02-005,02-朝野佥载卷二,,,,,independent,【02-005】周岭南首领陈元光设客，令一袍袴行酒。光怒，令拽出，遂杀之。须臾烂煮以食客。后呈其二手，客惧，攫喉而吐。
